PAPER ID,PAPER TITLE,AUTHOR,PUBLICATION TYPE,YEAR,PUBLISHER,CITATION COUNT
PS1,"Biographies, bollywood, boom-boxes and blenders: Domain adaptation for sentiment classification",Blitzer et al.,journal,2007,ACL anthology,2764
PS2,DRI-RCNN: An approach to deceptive review identification using recurrent convolutional neural network,Zhang et al.,journal,2018,Elsevier,93
PS3,Spammer detection and fake user identification on social networks,Masood et al.,journal,2019,IEEE,80
PS4,A REAL AND ACCURATE FAKE PRODUCT DETECTION SYSTEM AND GENERATE ORIGINAL REVIEWS USING DATA MINING MECHANISM,SASANK et al.,journal,2020,Springer,1
PS5,FILTERING FAKE PRODUCT REVIEWS BY USING n GRAM APPROACH,Padmapriya et al.,journal,2020,Mukt Shabd Journal,
PS6,Eliminating products’ fake reviews using network parameters and geo location,Raja et al.,conference,2020,IOP Publishing,4
PS7,Fake Contextual Information Detection And Removal In E-Commerce Applications,Arthi et al.,journal,2022,IJRES,0
PS8,CoSpa: A co-training approach for spam review identification with support vector machine,Zhang et al.,journal,2016,MDPI,27
PS9,Fake Product Review Monitoring and Removal For E-commerce,Girnale et al.,journal,2022,IJRES,0
PS10,Online Product Review Monitoring System Using Machine Learning,Johnson et al.,journal,2022,Springer,0
PS11,Fake Product Review Monitoring and Removal For Genuine Online Shopping,Priyanka et al.,journal,2022,IJRASET,0
PS12,Product Review Monitoring System by Machine Learning,Darekar et al.,journal,2022,IRJMETS,0
PS13,FAKE REVIEW DETECTION AND REPLACING IT WITH GENUINE ONES USING OPINION MINING,Geetha et al.,journal,2022,ResearchGate,0
PS14,User-personalized review rating prediction method based on review text content and user-item rating matrix,Wang et al.,journal,2018,MDPI,11
PS15,Fuzzy artificial bee colony-based CNN-LSTM and semantic feature for fake product review classification,Jacob et al.,journal,2022,Wiley Online Library,10
PS16,Fake product review detection and removal using opinion mining through machine learning,Jacob et al.,conference,2020,Springer,6
PS17,FAKE PRODUCT REVIEW MONITORING AND REMOVAL FOR GENUINE ONLINE REVIEWS USING IP FINDING AND GEO SPECIFICATION,Pokale et al.,journal,2020,IRJET,0
PS18,Monitoring Product Fake Review for Genuine Rating,Chandra et al.,journal,2020,Guru Nanak Publications,0
PS19,"Theorizing the textual differences between authentic and fictitious reviews: Validation across positive, negative and moderate polarities",Banerjee et al.,journal,2017,Emerald Publishing Limited,28
PS20,"Authentic versus fictitious online reviews: A textual analysis across luxury, budget, and mid-range hotels",Banerjee et al.,journal,2017,"SAGE Publications Sage UK: London, England",29
PS21,Fake or real? The computational detection of online deceptive text,Ball et al.,journal,2014,Springer,18
PS22,A theoretical framework to identify authentic online reviews,Banerjee et al.,journal,2014,Emerald Publishing Limited,47
PS23,Using named entities for computer-automated verbal deception detection,Kleinberg et al.,journal,2018,Wiley Online Library,45
PS24,Detecting opinion spams through supervised boosting approach,Hazim et al.,journal,2018,Public Library of Science San Francisco,32
PS25,Research of deceptive review detection based on target product identification and metapath feature weight calculation,Yuan et al.,journal,2018,Hindawi,11
PS26,Justifying recommendations using distantly-labeled reviews and fine-grained aspects,Jianmo Ni et al.,conference,2019,ACL anthology,741
PS27,What online reviewer behaviors really matter? Effects of verbal and nonverbal behaviors on detection of fake online reviews,Zhang et al.,journal,2016,Taylor & Francis,291
PS28,Graph-based review spammer group detection,Wang et al.,journal,2018,Springer,92
PS29,NetSpam: A network-based spam detection framework for reviews in online social media,Shehnepoor et al.,journal,2017,IEEE,162
PS30,Detecting review manipulation on online platforms with hierarchical supervised learning,Kumar et al.,journal,2018,Taylor & Francis,152
PS31,Detecting anomalous online reviewers: An unsupervised approach using mixture models,Kumar et al.,journal,2019,Taylor & Francis,63
PS32,Collusive opinion fraud detection in online reviews: A probabilistic modeling approach,Xu et al.,journal,2017,ACM,8
PS33,Spam Review Classification Using Ensemble of Global and Local Feature Selectors,Ansari et al.,journal,2018,Sciendo,2
PS34,Opinion spam detection framework using hybrid classification scheme,Asghar et al.,journal,2020,Springer,68
PS35,Detection of fake opinions using time series,Heydari et al.,journal,2016,Elsevier,120
PS36,DETECTING DECEPTIVE REVIEW SPAMMERS BASED ON PSEUDO-SUPERVISED CLASSIFICATION,Wang et al.,journal,2016,ICIC Express Letters,1
PS37,Image-based recommendations on styles and substitutes,McAuley et al.,conference,2015,ACM,2018
PS38,Analysis of online customer reviews,Otto et al.,journal,2004,JBER,10
